State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Having_latrine_facility_within_the_premises_Total_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_3_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,sex_ratio,literacy_rate
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,950111,939641,1113412,3745,641388,472024,1634229,219991,3433,443,412,25198,166,5880,301389,49345,324799,165858,242336,385986,147397,171505,115095,82319,25791,1779272,1123443,465706,299774,829,66813,14665,27809,40032,70342,73167,95192,34170,989,59
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,509172,481751,688749,3729,385311,303438,890429,92252,5368,389,272,1045,85,1083,214253,77454,231052,95410,100770,168165,126285,166677,82235,51015,10741,910950,535765,278153,176083,922,179589,9652,23267,37517,67485,39122,39473,8229,946,70
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,2423063,2356598,3052032,17560,1725548,1326484,4038331,528412,18418,2037,1086,178310,149,12918,808827,240742,962777,356198,544564,1057297,609600,532584,279583,201884,56621,4628909,2669348,1251116,857143,2054,316225,37652,82149,122453,229331,199193,226927,66120,973,64
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,1236954,1215641,1421621,9626,813440,608181,2103633,320834,14014,1029,284,8044,54,4703,440374,114040,371604,251876,275785,529576,219702,203139,121453,89475,29367,2256259,1487013,617276,346905,1401,156110,15029,36995,58834,107207,101757,127026,34856,983,58
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,870665,832635,1042673,3971,597198,445475,1289709,335184,35438,1145,30453,680,521,10170,271439,34924,287134,102269,188998,474921,194233,181076,105347,54900,12885,1727755,1018195,397120,287271,714,72805,8519,21648,28370,53752,68608,107588,25036,956,61
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,128663,126567,86919,117,54076,32843,245151,1617,2709,68,1649,15,3793,228,12516,1022,50449,7942,25597,22787,14170,7192,6755,3421,147,243347,167348,63802,23927,153,2843,2429,6408,7852,9267,8817,13973,1656,984,34
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1111022,1066309,1248268,4987,730566,517702,1786830,369588,2433,558,374,8665,499,8384,326594,58890,396449,131041,246391,430477,143199,182756,129109,96990,24569,2000470,1295274,527085,353549,1423,73300,12850,28819,40215,76206,86529,121864,38593,960,57
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,566622,571339,818345,4510,438257,380088,1004553,101235,26000,182,109,4710,4,1168,238505,74534,311660,80766,114570,257550,160083,177585,96470,72420,12631,1095680,564994,341380,230864,723,167369,11977,28314,48104,84585,49655,42270,7268,1008,72
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,840843,818613,1087392,5711,607188,480204,1520553,128751,3175,322,84,3778,128,2665,307257,60522,349704,97644,188329,332648,196470,217567,132435,75262,22078,1617764,891230,460057,306412,1757,107142,11497,29092,48344,91516,73781,81805,18108,974,66
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,986400,959097,1308540,7320,720637,587903,1658465,265805,5420,307,164,6417,1743,7176,372671,100812,354680,176011,242130,446793,206686,269748,154781,123863,32375,1943790,1068518,538551,336173,2255,188046,10904,31291,54589,109193,85525,89741,23597,972,67
